stations,n,kim,hub,sch,ley,logbox,bar,l.kim,l.hub,l.sch,l.ley,l.logbox,l.bar,u.kim,u.hub,u.sch,u.ley,u.logbox,u.bar
AG000060590,25343.3333,481.6667,506,277.6667,278.6667,0,15.3333,-5.0968,-4.9921,-5.6651,-5.7094,-11.8868,-8.1371,5.1422,5.2088,5.7202,5.6681,11.8672,8.1175
AGE00135039,22844.3333,561,576.6667,347,362.3333,0.3333,40.3333,-3.5358,-3.2193,-3.9244,-4.0451,-10.036,-5.7044,3.6396,3.9014,4.0543,3.9151,9.9644,5.6328
AGE00147708,16932.3333,399,409,240,243.6667,0,23,-4.9034,-4.7339,-5.4479,-5.5348,-12.6496,-7.7128,4.9747,5.0982,5.536,5.4558,12.6082,7.6714
AGE00147716,20872,566.6667,585.6667,374.3333,386,0,65.3333,-3.2406,-3.0201,-3.5974,-3.6859,-8.4339,-5.1777,3.3009,3.4781,3.6764,3.5804,8.3699,5.1136
AGE00147718,19579.6667,420.3333,423.3333,227.3333,226.3333,0,16.3333,-4.574,-4.4816,-5.0841,-5.1242,-10.9501,-7.2074,4.6128,4.6797,5.1312,5.0893,10.9336,7.1908
AGE00147719,11359.3333,227.6667,231.3333,120.3333,117.3333,0,8.6667,-4.7288,-4.8762,-5.2624,-5.23,-11.8583,-7.2074,4.7528,4.5675,5.2807,5.3059,11.9213,7.2703
AJ000037735,27236.6667,571.6667,591.6667,317.6667,320.6667,0.3333,21.3333,-5.3955,-5.5132,-6.0022,-5.8894,-13.4612,-8.4799,5.2491,5.0793,5.834,5.9366,13.46,8.4786
AM000037789,31482,671.6667,721,397,405.3333,0,34.3333,-5.47,-5.7886,-6.0905,-5.8821,-14.8239,-8.573,5.2525,4.8715,5.8325,6.0258,14.8773,8.6265
AR000875850,34648.6667,209,269,84.3333,74,0,0,-7.6419,-7.995,-8.5038,-8.1937,-16.8114,-11.9978,7.2418,6.7837,8.0461,8.3078,16.7969,11.9833
ASN00004020,37075,612,635.3333,336.6667,351.6667,0,30.6667,-4.4633,-4.6714,-4.9688,-4.8534,-10.7879,-7.1081,4.3657,4.1061,4.8486,4.9584,10.8423,7.1625
ASN00009500,27277.6667,608.3333,614,399,409.3333,0,66.6667,-4.1935,-3.8443,-4.6529,-4.7607,-11.5889,-6.7584,4.2077,4.4937,4.6888,4.5814,11.458,6.6275
ASN00009510,37750.6667,432,445.3333,190.6667,195,0,1.6667,-5.8587,-5.6575,-6.5106,-6.5983,-13.7773,-9.5641,5.9458,6.0947,6.6154,6.5268,13.7455,9.5323
ASN00009518,41206.3333,857.3333,861.6667,567.3333,566.6667,6.6667,81.3333,-3.5462,-3.5189,-3.9405,-3.9243,-7.4538,-5.727,3.4718,3.4877,3.8632,3.8761,7.3991,5.6723
ASN00009534,38330,506,512.6667,252.3333,256.6667,0,2.3333,-6.0132,-5.8286,-6.6822,-6.7412,-14.2554,-9.7908,6.0558,6.1913,6.7379,6.6681,14.2112,9.7467
ASN00009581,30293.6667,640,615,355.3333,386.3333,0,22.3333,-5.842,-5.3259,-6.4826,-6.6152,-16.2567,-9.4506,5.8518,6.2867,6.5204,6.3754,16.0793,9.2733
ASN00010073,32809.3333,405,408.3333,193.6667,199.6667,0,3.6667,-6.4998,-6.1285,-7.2195,-7.2995,-15.9483,-10.4974,6.4982,6.7912,7.2336,7.1577,15.8416,10.3906
ASN00010111,39940.3333,588,581.6667,291.3333,291.6667,0,4,-5.9704,-5.8512,-6.6352,-6.6661,-14.5246,-9.7021,5.9621,6.0506,6.6332,6.6014,14.474,9.6515
ASN00010579,37823.6667,496.3333,490.6667,248.6667,246.6667,0,3,-6.1083,-5.9107,-6.7863,-6.8025,-13.6187,-9.8643,6.0246,6.1781,6.7049,6.698,13.5194,9.765
ASN00010614,36069,544.6667,535,287.3333,283,0,8.3333,-6.3166,-6.1511,-7.0179,-6.9943,-14.8755,-10.1383,6.1741,6.3052,6.8711,6.8902,14.7618,10.0247
ASN00010648,36386.3333,373.6667,375,169.6667,168.6667,0,2.3333,-6.2104,-6.1147,-6.9036,-6.9346,-12.8565,-10.0516,6.222,6.2916,6.9207,6.8967,12.831,10.0261
ASN00012074,36083.6667,379.3333,406,161.3333,165,0,2,-6.9288,-6.4665,-7.6956,-7.879,-17.3208,-11.3704,7.1137,7.4769,7.9189,7.7215,17.2489,11.2985
ASN00018070,39690.6667,1495.3333,1479,1083.6667,1334.6667,0,296.3333,-4.5929,-3.6187,-5.0759,-5.4368,-19.5413,-7.7966,4.7984,5.9215,5.3667,4.8809,19.1758,7.4311
ASN00023000,35151,1333.6667,1232,854,1115.6667,0,118,-6.3756,-4.9761,-7.0482,-7.4792,-34.7099,-10.6769,6.5542,8.1671,7.3291,6.7446,34.2036,10.1706
ASN00026020,16798.3333,587,527.3333,405,476,0,91,-5.4,-4.4663,-5.9762,-6.2397,-20.3661,-8.6127,5.4251,6.3873,6.0608,5.7327,19.9921,8.2387
ASN00026026,46788,1564.6667,1471.6667,1076.6667,1137,0,164,-4.3144,-3.8564,-4.7819,-4.901,-12.6698,-7.1084,4.2509,4.6568,4.7423,4.6247,12.4467,6.8854
ASN00028004,24411.6667,604,623.3333,392.6667,398.6667,1,66.3333,-2.7216,-2.8039,-3.0298,-2.9882,-6.8682,-4.2816,2.7086,2.5985,3.0084,3.05,6.9113,4.3247
ASN00029004,37426.6667,831.6667,829.3333,493,506.6667,0.6667,41.3333,-3.6567,-3.887,-4.0726,-4.007,-10.1571,-5.8664,3.6524,3.3743,4.0548,4.1227,10.2428,5.9521
ASN00030018,39768.3333,1143,1175.3333,733.6667,774.6667,0,102.3333,-3.5534,-3.8328,-3.9602,-3.8329,-10.7765,-5.668,3.5038,3.1759,3.887,3.9935,10.8845,5.776
ASN00030045,43876.3333,990.6667,1065.6667,535.3333,593.3333,0,29,-4.919,-5.4248,-5.4824,-5.2358,-16.2954,-7.7942,4.7249,4.1656,5.2412,5.4624,16.4168,7.9156
ASN00031010,23918.3333,710,734,451.3333,456,0,73,-2.5745,-2.7209,-2.8674,-2.7981,-7.2454,-4.0157,2.5306,2.3482,2.8093,2.8807,7.2964,4.0667
ASN00033047,23975,878,883.3333,560.6667,558.6667,0,62.6667,-3.4656,-3.5073,-3.8557,-3.8584,-9.7351,-5.5017,3.5083,3.4545,3.8989,3.8963,9.7742,5.5408
ASN00035027,34206.3333,776.6667,784,429.3333,429.6667,0,24.3333,-4.4811,-4.5259,-4.9845,-4.9925,-12.1929,-7.2345,4.525,4.4558,5.03,5.0223,12.2263,7.2678
ASN00038003,43731.3333,703,797.6667,374,386.6667,0,17.6667,-6.1929,-6.527,-6.8937,-6.6325,-16.0009,-9.8259,5.8882,5.4742,6.5399,6.7663,16.0251,9.8501
ASN00039039,40859,607,624.6667,303.6667,310,0,9.3333,-4.5648,-4.3677,-5.0718,-5.1932,-11.8411,-7.5377,4.7097,4.8537,5.2409,5.122,11.8239,7.5205
ASN00040264,24018.3333,818,820,508.3333,506,0,51.6667,-3.6008,-3.5156,-4.0007,-3.9974,-10.5149,-5.6794,3.5353,3.602,3.9343,3.9401,10.4556,5.62
ASN00041038,33630,496.6667,508,246,251.3333,0,8.3333,-5.6638,-5.6879,-6.2984,-6.2553,-13.5844,-9.0679,5.603,5.5422,6.2297,6.2649,13.5764,9.0599
ASN00046037,32444.3333,395.3333,456.6667,183.6667,189,0,3,-6.9773,-6.4429,-7.7487,-8.0116,-18.0988,-11.4936,7.3046,7.7335,8.132,7.8383,18.0506,11.4454
ASN00048013,43883.6667,667.6667,685.3333,331,336.3333,0,8.6667,-6.6321,-6.3893,-7.3698,-7.4475,-16.7983,-10.8789,6.6957,6.8798,7.45,7.3635,16.7512,10.8318
ASN00052026,39828.3333,643,661,321.3333,327.3333,0,13,-6.3677,-6.0958,-7.0754,-7.1412,-16.4688,-10.3766,6.3898,6.5979,7.1104,7.048,16.4044,10.3123
ASN00055023,28511,454.6667,472.3333,248.3333,251.6667,0,15,-5.6867,-5.8836,-6.3288,-6.2007,-13.572,-8.9562,5.5676,5.3066,6.1855,6.297,13.6145,8.9986
ASN00056017,44026.3333,690.6667,695,348.3333,348,0.6667,15.3333,-5.104,-5.075,-5.6752,-5.7013,-12.2347,-8.3455,5.1452,5.1627,5.7215,5.6975,12.2421,8.353
ASN00063004,31263,506,531.6667,273.3333,277,0,17.3333,-5.4926,-5.2571,-6.1038,-6.1778,-13.1807,-8.8731,5.5592,5.7407,6.1853,6.1112,13.1475,8.8398
ASN00065016,42713.6667,873,874.3333,493.3333,491,0,18.6667,-6.181,-6.0345,-6.8687,-6.8799,-16.3465,-10.0434,6.1207,6.2333,6.8102,6.8032,16.2739,9.9708
ASN00066062,58394.3333,1880.6667,1862,1247.6667,1362,0,184.3333,-4.4055,-3.8707,-4.8829,-5.042,-15.0646,-7.3964,4.4336,4.9081,4.9457,4.7598,14.86,7.1918
ASN00074128,48531,890,938,461.6667,518.6667,0,12,-6.7979,-6.1346,-7.544,-7.7752,-20.4622,-11.3519,6.9804,7.541,7.7769,7.5075,20.3071,11.1968
ASN00078031,31276.6667,832.3333,789.6667,502,558.3333,0,34.6667,-6.8333,-5.9004,-7.5744,-7.8109,-24.5031,-11.126,6.8466,7.707,7.637,7.3825,24.1851,10.808
ASN00086071,58240.6667,1545.3333,1382.6667,952.6667,1219.6667,0,81.6667,-6.0014,-4.8981,-6.6429,-7.0142,-24.5433,-10.2586,6.2174,7.3866,6.9439,6.4712,24.19,9.9053
ASN00090015,54925,2910,2877.3333,2162.6667,2522.3333,0,679,-4.5018,-3.553,-4.9715,-5.255,-23.4493,-7.6374,4.499,5.5992,5.037,4.6411,22.9882,7.1763
ASN00091057,38246,237,273,92.6667,94.3333,0,1.3333,-4.1111,-4.2838,-4.5751,-4.4441,-8.8969,-6.5178,3.949,3.7219,4.3872,4.5128,8.9079,6.5288
ASN00094029,46620,876.3333,840.6667,530.6667,616,0,59.3333,-5.6679,-4.9766,-6.2843,-6.5024,-17.1983,-9.4581,5.7806,6.3961,6.4459,6.1786,16.9837,9.2435
AU000005010,51366.6667,786.3333,811.3333,447,450.3333,0.3333,31,-6.2053,-6.3854,-6.9051,-6.8006,-14.1588,-10.0768,6.1033,5.8611,6.7816,6.8905,14.2007,10.1187
AU000005901,58989.6667,770.6667,795,401.3333,410.3333,0.3333,13,-6.5142,-6.6744,-7.2475,-7.1247,-14.622,-10.6352,6.3809,6.1607,7.0912,7.1973,14.6431,10.6564
AU000006306,49114,597,600,301.3333,302.3333,0.3333,14.3333,-7.1621,-7.2537,-7.9673,-7.8969,-15.9762,-11.6513,7.0851,6.953,7.8749,7.9576,16.0025,11.6776
AU000011801,46378,708.6667,740,379.3333,392,0,20.6667,-6.483,-6.8098,-7.2169,-7.0419,-16.5463,-10.4275,6.3311,5.9197,7.0317,7.1884,16.6182,10.4993
AU000015410,46447,878.6667,1004,511.6667,586,0,45.3333,-7.3314,-8.2577,-8.1748,-7.6756,-23.0441,-11.5255,6.9028,5.9317,7.6529,8.081,23.241,11.7224
AU000016402,42621,453,489,221.6667,229.6667,0,7.6667,-6.0817,-6.346,-6.7694,-6.6027,-13.9729,-9.7273,5.9057,5.5632,6.5601,6.7232,14.0192,9.7736
BE000006447,61372.3333,815.3333,881.6667,409.3333,427.3333,0,12.6667,-5.6778,-5.2775,-6.306,-6.5176,-14.877,-9.6281,5.9433,6.2588,6.6161,6.3846,14.8436,9.5947
BKM00014652,23188.3333,396.3333,439,218.6667,272.6667,0,31.6667,-7.726,-8.9079,-8.6192,-8.0342,-24.9338,-11.7019,7.2398,6.0611,8.0221,8.5389,25.1908,11.9588
BKM00014654,43282,675.3333,749.3333,356.3333,357,0,16.6667,-7.6821,-8.1089,-8.5512,-8.2444,-19.5605,-12.1965,7.3212,6.7833,8.1317,8.4071,19.5923,12.2283
BOM00026850,31247,646.3333,645.6667,413,415.3333,3,51.6667,-7.0914,-7.2689,-7.8925,-7.8651,-16.8649,-11.3756,7.1722,6.944,7.9679,7.9951,16.9826,11.4933
BOM00033038,31443.3333,626,629.3333,382.3333,387,1.6667,46,-7.4509,-7.6656,-8.2936,-8.184,-17.5113,-11.8628,7.4064,7.1186,8.227,8.336,17.6143,11.9657
CA001016940,38004.3333,691.6667,688,414.3333,423,2,47.6667,-4.48,-4.1685,-4.9752,-5.0875,-11.2363,-7.3547,4.571,4.8193,5.0891,4.9733,11.1734,7.2917
CA001017230,39476,601,635,348.3333,351.3333,0,39.6667,-4.8365,-4.5152,-5.3726,-5.5357,-12.2523,-8.0159,5.0403,5.2927,5.6099,5.44,12.2315,7.9951
CA001018610,37458.6667,1166.3333,1185.3333,804,850.6667,1.3333,173.6667,-3.7742,-3.367,-4.1882,-4.3583,-11.7202,-6.2724,3.9382,4.2902,4.3877,4.2053,11.6465,6.1987
CA001032730,35704.6667,673.6667,682.6667,398.3333,394.6667,4,52.3333,-3.5216,-3.5706,-3.9175,-3.8847,-7.9324,-5.6484,3.4887,3.4198,3.8775,3.9149,7.9468,5.6628
CA001036570,42412.3333,792.3333,841.6667,468.6667,477.3333,0,41.3333,-3.956,-3.6901,-4.3942,-4.5275,-10.57,-6.5787,4.1218,4.3305,4.5878,4.4454,10.5499,6.5586
CA001054920,26282.3333,769,771,514.6667,510,2.3333,93.3333,-3.8373,-3.8377,-4.2686,-4.273,-10.3228,-6.1166,3.8745,3.8661,4.3065,4.304,10.3553,6.1491
CA001060840,36882.3333,1141,1165,810.6667,812,9.6667,179.3333,-5.2044,-5.3678,-5.7951,-5.7369,-13.2964,-8.3817,5.2425,5.0279,5.8213,5.8811,13.4141,8.4994
CA001080870,31863.3333,1151,1148,815.3333,814,7,174,-7.8857,-8.0281,-8.7781,-8.8055,-19.3706,-12.7401,8.1051,7.9254,9.0029,8.9768,19.554,12.9235
CA001090660,43846.3333,1397,1414.3333,983,993.6667,7.3333,199,-7.7211,-7.9776,-8.599,-8.5153,-19.7802,-12.5609,7.8294,7.4957,8.6924,8.7567,19.9883,12.7691
CA001092970,42247.3333,2066.6667,2076.6667,1516.3333,1509,2,306.6667,-7.7051,-7.7731,-8.5769,-8.6242,-22.283,-12.6378,7.9529,7.8573,8.834,8.7888,22.4684,12.8232
CA001100120,45398,1336.6667,1344.6667,886.3333,889.3333,7.6667,133,-5.1125,-4.9667,-5.6825,-5.713,-13.3006,-8.3679,5.1279,5.239,5.7044,5.6701,13.2723,8.3396
CA001101530,34064.6667,756.6667,768.3333,481.6667,489,5.3333,78.6667,-5.3387,-5.215,-5.9352,-5.984,-13.0682,-8.6491,5.4062,5.4943,6.0126,5.9627,13.069,8.65
CA001123360,33735.3333,646.6667,663.3333,420,424.6667,3.6667,73.3333,-6.8984,-7.1377,-7.6805,-7.5596,-16.5219,-11.0103,6.8626,6.5482,7.6211,7.7355,16.6448,11.1332
CA001123390,18143.6667,356.3333,358.6667,214,212.3333,0.6667,38.6667,-7.667,-7.6502,-8.5277,-8.6295,-17.9887,-12.1181,7.9008,7.8968,8.7829,8.6726,18.0794,12.2089
CA001124110,24011.3333,375.3333,376.3333,226.3333,230.6667,2,32,-7.0166,-7.2135,-7.8101,-7.7227,-16.1907,-11.0566,7.0128,6.7505,7.79,7.8646,16.2963,11.1622
CA001142160,37046,694.3333,693.6667,420.6667,423.3333,1.3333,51.6667,-6.5326,-6.8291,-7.273,-7.1904,-15.3503,-10.4963,6.5304,6.1547,7.2524,7.3522,15.471,10.6171
CA001142820,34547.3333,749,770,475.3333,489.6667,2.3333,63.3333,-5.5422,-5.789,-6.1712,-6.0479,-14.6541,-8.8298,5.4811,5.1624,6.0861,6.2008,14.7535,8.9292
CA001143900,38968,802.3333,814.3333,500.6667,517.3333,3,76.6667,-5.6508,-6.0318,-6.2946,-6.1371,-14.3519,-9.027,5.5733,5.1086,6.1861,6.336,14.4817,9.1568
CA001146870,22069,388.6667,406,226.6667,237,0.6667,33.3333,-6.8523,-7.0938,-7.6276,-7.5052,-15.5849,-10.7061,6.7811,6.4622,7.5321,7.6516,15.6769,10.7982
CA001152850,34812.3333,1276,1317.6667,885,902.3333,1,172.6667,-7.8837,-8.3066,-8.7818,-8.5889,-22.5417,-12.5554,7.8172,7.291,8.6768,8.8666,22.7334,12.7471
CA001168520,38429.3333,1230.3333,1268.6667,865.3333,865,8.3333,199,-6.9143,-7.1739,-7.7,-7.6058,-18.2142,-11.1513,6.9649,6.6279,7.733,7.8141,18.3831,11.3201
CA001173210,41995.3333,1546.3333,1571.3333,1085,1098.3333,2.6667,203,-6.9395,-7.2794,-7.7282,-7.594,-19.2204,-11.1863,6.9169,6.486,7.6793,7.8062,19.3739,11.3398
CA001200560,34069.6667,2454.3333,2468,1878.6667,1871,1,484.3333,-7.2096,-7.3391,-8.024,-8.0663,-27.5014,-11.6989,7.416,7.2539,8.2389,8.1966,27.6507,11.8482
CA002100200,15983.3333,1183,1195.6667,890.6667,889.3333,0,261,-7.901,-8.1418,-8.7949,-8.7437,-33.8804,-12.2508,7.9714,7.6607,8.8544,8.9103,34.0229,12.3933
CA002100880,21858,1643.3333,1670.6667,1234.3333,1229.6667,0,338,-8.5682,-8.5697,-9.5325,-9.6347,-33.1086,-13.6572,8.8425,8.7782,9.8274,9.7257,33.2454,13.794
CA002201700,20561.3333,577.3333,608.3333,360.3333,371.3333,0,38.3333,-9.5943,-9.9902,-10.6754,-10.4058,-24.1351,-14.8129,9.2616,8.7469,10.2914,10.5305,24.1454,14.8233
CA003011120,33228.6667,1424.3333,1426.6667,983,986.3333,1.3333,144.6667,-9.344,-9.5477,-10.402,-10.3733,-28.4374,-15.0542,9.5021,9.2466,10.554,10.5856,28.6361,15.2529
CA003024920,33321,1073.6667,1072,703.3333,709,0.6667,90.6667,-9.6486,-10.1068,-10.7445,-10.5894,-27.7405,-15.4096,9.6441,9.0794,10.7081,10.8698,27.9496,15.6188
CA003031093,46720.3333,1657.6667,1680.6667,1109.6667,1121,0.6667,120,-9.9988,-10.4852,-11.1358,-10.9892,-29.224,-16.2563,10.0548,9.4586,11.1629,11.3024,29.4729,16.5052
CA003032680,33656.6667,1216.6667,1233.6667,820.3333,840.6667,0.3333,115,-10.3612,-11.0156,-11.543,-11.3418,-30.8105,-16.5584,10.4093,9.612,11.5528,11.732,31.1152,16.8631
CA003032800,35702,1170.6667,1162.3333,753.6667,758.6667,0.3333,85,-9.868,-10.1875,-10.9863,-10.8743,-27.8315,-15.8649,9.9175,9.5035,11.0142,11.1168,28.0257,16.059
CA003033240,34145,1284.3333,1288.6667,870.3333,877,0,113.3333,-10.2149,-10.6059,-11.374,-11.322,-29.7298,-16.4719,10.4038,9.9169,11.5529,11.5998,29.9854,16.7274
CA003033890,38932,1315,1328.3333,851,876.6667,0.3333,95.6667,-10.4432,-11.0639,-11.6322,-11.3539,-29.7641,-16.714,10.3395,9.5758,11.4772,11.7089,30.0044,16.9544
CA003034480,44905.3333,1268,1263,811.3333,803,0.6667,61,-10.6328,-10.811,-11.8345,-11.9273,-27.083,-17.5163,10.9989,10.7552,12.219,12.1289,27.3257,17.759
CA003036360,18874.3333,569,566,351,353.3333,0.6667,42.3333,-10.059,-10.4939,-11.1996,-11.0747,-27.5024,-15.6866,10.1184,9.5804,11.2367,11.3338,27.7116,15.8958
CA003050520,39135.3333,1569.3333,1616,1093.6667,1110,0.3333,196,-8.6061,-9.0959,-9.5887,-9.3673,-25.0362,-13.7972,8.579,7.9674,9.5203,9.7097,25.2863,14.0473
CA003061200,36208.3333,1728,1763.6667,1227,1242,1,216.6667,-9.2131,-9.5593,-10.2563,-10.117,-29.5603,-14.7753,9.1818,8.7443,10.1979,10.3266,29.7096,14.9247
CA004013480,47563,968,973,527.6667,531.3333,0,26,-10.5797,-10.8038,-11.7707,-11.741,-27.1028,-17.3014,10.6481,10.3615,11.8336,11.8589,27.2083,17.4069
CA004015360,26049.6667,520.6667,525.3333,286.3333,291,0,16.6667,-10.1756,-10.2018,-11.3168,-11.2616,-24.1356,-16.1218,10.1131,10.0532,11.2433,11.2977,24.1471,16.1332
CA004015440,40163.3333,936.6667,938.3333,559.6667,561.6667,0.3333,34,-10.2091,-10.4173,-11.3586,-11.3191,-26.8017,-16.554,10.2607,9.9946,11.4028,11.4365,26.9026,16.6549
CA004016560,43596,943.3333,931,534.6667,535.6667,0,27,-10.4069,-10.7096,-11.5822,-11.5554,-26.6022,-16.9639,10.5295,10.1494,11.6981,11.7377,26.7696,17.1313
CA004018880,31889.3333,665.6667,665,378,377.3333,0,17,-10.49,-10.6046,-11.668,-11.719,-26.7082,-16.9262,10.6575,10.4757,11.847,11.7836,26.7985,17.0165
CA004019040,35977.6667,735.6667,743.3333,422.6667,425.3333,0,21.6667,-10.1903,-10.3689,-11.3385,-11.3448,-26.0286,-16.4929,10.3283,10.0704,11.4772,11.4764,26.1618,16.626
CA004021520,35406,822.3333,833,480.3333,495,0,23.3333,-10.4937,-11.0034,-11.6833,-11.4587,-27.9455,-16.7394,10.367,9.7308,11.5128,11.7239,28.1128,16.9066
CA004047240,39796.3333,1074,1085.6667,661.3333,660,0.6667,49.3333,-9.9867,-10.168,-11.1133,-11.1351,-26.4345,-16.2632,10.1697,9.9117,11.2996,11.2881,26.5949,16.4237
CA004048520,38367.6667,1191.6667,1204,747.3333,757,1,73.3333,-9.9304,-10.2833,-11.052,-10.9352,-27.999,-15.988,9.8982,9.4656,10.9964,11.1124,28.1239,16.1128
CA004056120,33273.6667,862.3333,865,520,517.6667,0,35.3333,-9.9502,-10.2424,-11.0724,-11.0067,-26.8011,-15.9624,9.9736,9.606,11.0819,11.1542,26.9175,16.0789
CA004057120,41656.3333,1007.3333,1008.6667,568,567.3333,0.3333,32.6667,-10.3236,-10.4718,-11.4857,-11.5193,-27.5082,-16.857,10.5027,10.2916,11.6721,11.6337,27.6388,16.9876
CA005010485,42711,800.6667,803.3333,423.3333,431,0,16,-10.492,-10.6667,-11.6715,-11.5979,-25.8869,-17.0075,10.4492,10.1992,11.6141,11.6863,25.9425,17.0631
CA005010640,30728,498.6667,502.3333,257.6667,259.6667,0,9.3333,-10.085,-10.1851,-11.2168,-11.1616,-23.6689,-16.0978,10.023,9.8755,11.1424,11.2107,23.6902,16.1191
CA005011760,37989,748.6667,765.6667,408,417.6667,0,15.3333,-10.3876,-10.6549,-11.5579,-11.3945,-26.0206,-16.6663,10.2517,9.8949,11.392,11.5266,26.0858,16.7314
CA005012080,29866,489.6667,506.3333,257.6667,258.6667,0,12.6667,-10.106,-10.2219,-11.2421,-11.2269,-23.7328,-16.179,10.1658,9.9752,11.2991,11.3117,23.8114,16.2576
CA005012520,30412,595.3333,610.6667,329,337,0,16,-10.5456,-10.7739,-11.7335,-11.6006,-26.1496,-16.7678,10.4389,10.1321,11.6003,11.7297,26.2198,16.838
CA005012960,27158,515,524.6667,277.6667,278,0.3333,16.6667,-9.2957,-9.4963,-10.3402,-10.3037,-21.5088,-14.7836,9.2987,9.0325,10.3359,10.3717,21.5606,14.8354
CA005020880,25204.3333,452.6667,467,238.3333,243.6667,0,15,-10.2405,-10.3667,-11.3895,-11.2279,-23.3047,-16.0723,9.9933,9.802,11.1096,11.2734,23.277,16.0446
CA005031320,37293.6667,702.3333,712,376.3333,373.6667,0,15,-9.9482,-9.8982,-11.0618,-11.0519,-23.573,-16.0684,9.925,9.9103,11.0362,11.0507,23.5664,16.0617
CA005042800,23104.6667,516.6667,531,286.3333,288.6667,0,18.6667,-9.5022,-9.4793,-10.5668,-10.5884,-22.6638,-15.0671,9.5791,9.5249,10.6507,10.6023,22.6934,15.0968
CA006022475,30441.6667,541.6667,551,283.6667,285.6667,0,8,-10.3514,-10.1908,-11.5082,-11.6512,-24.7245,-16.7447,10.5776,10.6773,11.7637,11.6154,24.7542,16.7744
CA006092915,24388,497,505.6667,282,277.3333,0,15.6667,-8.4619,-8.422,-9.4096,-9.4349,-19.4808,-13.432,8.4964,8.5121,9.4473,9.4415,19.4944,13.4456
CA006100969,26468.3333,556.6667,558,314.6667,314.3333,0.3333,20.6667,-9.4717,-9.6765,-10.5386,-10.4503,-21.0377,-14.9978,9.4285,9.1507,10.4775,10.5658,21.1135,15.0737
CA006105976,47969.3333,957.6667,960.6667,522.3333,524.6667,0,23.6667,-9.4262,-9.3933,-10.4824,-10.5258,-22.3541,-15.4884,9.5361,9.5529,10.6028,10.5418,22.3936,15.5278
CA006106362,24869.3333,553.6667,565,324.6667,324,0,28.3333,-9.5557,-9.4683,-10.6268,-10.7316,-22.7947,-15.2852,9.7585,9.8108,10.8496,10.7564,22.864,15.3545
CA006110605,36789.3333,634,632,358.3333,360,0,14,-10.0585,-10.1183,-11.1902,-11.2501,-22.7986,-16.3676,10.283,10.1896,11.4285,11.3514,22.9307,16.4996
CA006112171,25633.6667,283.6667,288.3333,132.3333,132,0,2.6667,-10.08,-9.8793,-11.2058,-11.1923,-21.1908,-15.9846,10.0106,10.1677,11.134,11.1449,21.1379,15.9318
CA006116254,36591.6667,769,789,443.6667,449.6667,0,28,-9.6475,-9.8517,-10.7356,-10.6824,-23.9165,-15.563,9.6953,9.4235,10.7727,10.8263,24.0364,15.6829
CA006124127,16218.6667,208,216.6667,103.6667,109.6667,0,3,-8.7003,-8.095,-9.6627,-9.8942,-22.0167,-13.7468,8.9267,9.4056,9.9377,9.6863,21.9174,13.6475
CA006124700,37959.6667,363.6667,375.6667,159.6667,163.6667,0,1.6667,-9.6804,-9.4336,-10.7607,-10.8279,-20.6723,-15.724,9.7348,9.9193,10.8281,10.7669,20.6402,15.6919
CA006127887,39074,450,475.3333,209.6667,216,0,3,-9.1502,-8.597,-10.1646,-10.424,-21.6691,-15.1106,9.4684,9.8943,10.5384,10.2465,21.6156,15.057
CA006136643,37309.3333,416,417.6667,212.3333,215.3333,0,5.3333,-8.5752,-8.7233,-9.5404,-9.5117,-19.1907,-13.8591,8.6189,8.424,9.5785,9.6059,19.2723,13.9406
CA006136694,31391.6667,322.6667,321,160.6667,163.6667,0.3333,6.6667,-8.3388,-8.6271,-9.2805,-9.1673,-18.4462,-13.2835,8.2846,7.9126,9.204,9.3119,18.5411,13.3784
CA006137147,28609,182,197.6667,66.3333,66.3333,0,0.6667,-9.9133,-9.6207,-11.0194,-11.1681,-20.1028,-15.9909,10.1137,10.3227,11.2497,11.1005,20.1022,15.9903
CA006139445,46025.6667,519,527,247,248,0,5.3333,-9.1086,-9.0384,-10.1277,-10.1238,-19.2168,-14.8612,9.0908,9.1335,10.1091,10.1143,19.2053,14.8496
CA006139520,26292.3333,313,330,147.3333,148,0,3.3333,-8.9237,-8.5008,-9.9143,-10.097,-20.0785,-14.3731,9.107,9.426,10.135,9.9465,20.0114,14.306
CA006141095,19646.6667,252,261,130.3333,129.3333,0,5,-8.9621,-8.7462,-9.9622,-10.052,-19.4322,-14.1398,9.0534,9.2102,10.0702,9.9949,19.4122,14.1198
CA006148120,12190.3333,115.6667,124,52,53,0,2.3333,-9.8149,-9.4489,-10.9073,-11.0646,-20.0117,-15.1974,9.9845,10.2545,11.1088,10.9495,19.9678,15.1535
CA006149625,50195,553.3333,559.6667,259.6667,261,0,1.6667,-9.3375,-9.1154,-10.3794,-10.4439,-20.4475,-15.3715,9.4014,9.5638,10.4573,10.3831,20.4179,15.3419
CA006150689,38807,691.6667,688.6667,381.6667,380.6667,0.6667,23.3333,-8.7552,-8.8164,-9.7397,-9.7508,-19.974,-14.2137,8.8449,8.7632,9.8307,9.828,20.0544,14.2941
CA006158350,59636,909,912.6667,492,489.6667,0,21.6667,-8.4861,-8.6043,-9.441,-9.4351,-18.7422,-14.0374,8.5586,8.4039,9.5119,9.522,18.8255,14.1207
